Date	Close
29/06/2018	84
29/06/2018	64
29/06/2018	36
30/06/2018	95
30/06/2018	02
30/06/2018	19
30/06/2018	23
07/02/2018	72
07/02/2018	76
07/02/2018	94
07/02/2018	71
07/03/2018	72
07/03/2018	00
07/03/2018	93
07/03/2018	96
07/04/2018	16
07/04/2018	05
07/04/2018	81
07/04/2018	87
07/05/2018	07
07/05/2018	26
07/05/2018	68
07/05/2018	00
07/06/2018	66
07/06/2018	49
07/06/2018	25
07/06/2018	98
07/07/2018	33
07/07/2018	80
07/07/2018	45
07/07/2018	98
07/10/2018	87
07/10/2018	48
07/10/2018	72
07/10/2018	87
07/11/2018	16
07/11/2018	07
07/11/2018	28
07/11/2018	98
07/12/2018	26
07/12/2018	35
07/12/2018	60
07/12/2018	50
13/07/2018	88
13/07/2018	35
13/07/2018	06
13/07/2018	09
14/07/2018	22
14/07/2018	19
14/07/2018	18
14/07/2018	64
16/07/2018	11
16/07/2018	59
16/07/2018	81
16/07/2018	20
17/07/2018	69
17/07/2018	32
17/07/2018	32
17/07/2018	95
18/07/2018	09
18/07/2018	14
18/07/2018	21
18/07/2018	61
19/07/2018	70
19/07/2018	09
19/07/2018	17
19/07/2018	90
20/07/2018	26
20/07/2018	07
20/07/2018	22
20/07/2018	85
21/07/2018	09
21/07/2018	77
21/07/2018	89
21/07/2018	26
23/07/2018	49
23/07/2018	10
23/07/2018	55
23/07/2018	08
24/07/2018	93
24/07/2018	79
24/07/2018	25
24/07/2018	93
25/07/2018	79
25/07/2018	31
25/07/2018	83
25/07/2018	33
26/07/2018	79
26/07/2018	44
26/07/2018	04
26/07/2018	72
27/07/2018	91
27/07/2018	07
27/07/2018	23
27/07/2018	56
28/07/2018	98
28/07/2018	31
28/07/2018	24
28/07/2018	35
30/07/2018	97
30/07/2018	08
30/07/2018	19
30/07/2018	58
31/07/2018	82
31/07/2018	00
31/07/2018	01
31/07/2018	40
08/01/2018	62
08/01/2018	09
08/01/2018	37
08/01/2018	87
08/02/2018	64
08/02/2018	77
08/02/2018	42
08/02/2018	74
08/03/2018	40
08/03/2018	03
08/03/2018	66
08/03/2018	57
08/04/2018	84
08/04/2018	40
08/04/2018	86
08/04/2018	20
08/06/2018	98
08/06/2018	61
08/06/2018	00
08/06/2018	35
08/07/2018	07
08/07/2018	20
08/07/2018	96
08/07/2018	96
08/08/2018	46
08/08/2018	54
08/08/2018	23
08/08/2018	79
08/09/2018	67
08/09/2018	32
08/09/2018	46
08/09/2018	00
08/10/2018	35
08/10/2018	68
08/11/2018	78
08/11/2018	07
08/11/2018	70
08/11/2018	18
13/08/2018	42
13/08/2018	40
13/08/2018	83
13/08/2018	52
14/08/2018	90
14/08/2018	75
14/08/2018	93
14/08/2018	66
15/08/2018	74
15/08/2018	43
15/08/2018	15
15/08/2018	69
16/08/2018	09
16/08/2018	72
16/08/2018	11
16/08/2018	63
17/08/2018	91
17/06/2018	16
17/08/2018	27
17/08/2018	91
18/08/2018	12
18/08/2018	77
18/08/2018	92
18/08/2018	59
20/08/2018	44
20/08/2018	30
20/08/2018	90
21/08/2018	74
21/08/2018	72
21/08/2018	94
21/08/2018	78
22/08/2018	73
22/08/2018	10
22/08/2018	53
22/08/2018	12
23/08/2018	61
23/08/2018	13
23/08/2018	79
23/08/2018	02
24/08/2018	73
24/08/2018	63
24/08/2018	89
24/08/2018	25
25/08/2018	34
25/08/2018	65
25/08/2018	87
25/08/2018	24
27/08/2018	98
27/08/2018	71
27/08/2018	10
27/08/2018	75
28/08/2018	33
28/08/2018	29
28/08/2018	75
28/08/2018	54
29/08/2018	91
29/08/2018	20
29/08/2018	35
29/08/2018	69
30/08/2018	23
30/08/2018	78
30/08/2018	23
30/08/2018	48
31/08/2018	94
31/08/2018	37
31/08/2018	10
31/08/2018	79
09/01/2018	18
09/01/2018	45
09/01/2018	54
09/01/2018	40
09/03/2018	97
09/03/2018	68
09/03/2018	46
09/03/2018	77
09/04/2018	87
09/04/2018	24
09/04/2018	78
09/04/2018	72
09/05/2018	85
09/05/2018	70
09/05/2018	07
09/05/2018	11
09/06/2018	71
09/06/2018	24
09/06/2018	92
09/06/2018	79
09/07/2018	52
09/07/2018	56
09/07/2018	29
09/07/2018	65
09/08/2018	42
09/08/2018	82
09/08/2018	49
09/10/2018	00
09/10/2018	17
09/10/2018	91
09/10/2018	52
09/11/2018	30
09/11/2018	05
09/11/2018	29
09/11/2018	38
09/12/2018	70
09/12/2018	02
09/12/2018	75
09/12/2018	09
13/09/2018	17
13/09/2018	56
13/09/2018	61
13/09/2018	42
14/09/2018	12
14/09/2018	76
14/09/2018	56
14/09/2018	41
15/09/2018	61
15/09/2018	74
15/09/2018	48
15/09/2018	08
17/09/2018	75
17/09/2018	77
17/09/2018	14
17/09/2018	79
18/09/2018	10
18/09/2018	20
18/09/2018	90
18/09/2018	06
19/09/2018	55
19/09/2018	89
19/09/2018	16
19/09/2018	64
20/09/2018	78
20/09/2018	11
20/09/2018	81
20/09/2018	01
21/09/2018	80
21/09/2018	96
21/09/2018	54
21/09/2018	84
22/09/2018	28
22/09/2018	07
22/09/2018	05
22/09/2018	55
24/09/2018	82
24/09/2018	25
24/09/2018	78
24/09/2018	04
25/09/2018	78
25/09/2018	50
25/09/2018	01
25/09/2018	21
26/09/2018	56
26/09/2018	01
26/09/2018	89
26/09/2018	10
27/09/2018	78
27/09/2018	32
27/09/2018	63
27/09/2018	65
28/09/2018	42
28/09/2018	31
28/09/2018	84
28/09/2018	28
29/09/2018	31
29/09/2018	59
29/09/2018	32
29/09/2018	70
10/01/2018	46
10/01/2018	22
10/01/2018	97
10/01/2018	00
10/02/2018	41
10/02/2018	99
10/02/2018	18
10/02/2018	01
10/03/2018	69
10/03/2018	00
10/03/2018	07
10/03/2018	60
10/04/2018	45
10/04/2018	74
10/04/2018	32
10/04/2018	78
10/05/2018	13
10/05/2018	21
10/05/2018	63
10/05/2018	86
10/06/2018	54
10/06/2018	49
10/06/2018	91
10/06/2018	65
10/08/2018	00
10/08/2018	23
10/08/2018	21
10/08/2018	84
10/09/2018	41
10/09/2018	56
10/09/2018	53
10/09/2018	10
10/10/2018	06
10/10/2018	28
10/10/2018	48
10/10/2018	84
10/11/2018	86
10/11/2018	59
10/11/2018	43
10/11/2018	91
10/12/2018	54
10/12/2018	36
10/12/2018	36
10/12/2018	89
13/10/2018	05
13/10/2018	76
13/10/2018	76
13/10/2018	03
15/10/2018	31
